Author,Year,Title,Journal,Volume,Issue,StartPage,Affiliation,Keywords,NumCitations,Fraudulent,Field,Rank,hIndex_Total,hIndex_Year,Degree_Total,Degree_Year,,
NOONE,2000,FAKE,FAKE,1,1,1,FAKE,FAKE,1,,FAKE,,1,1,1,1,,
NOONEELSE,2000,FAKE,FAKE,1,1,1,FAKE,FAKE,1,,FAKE,,1,1,1,1,,
"Mund, M.",2014,"Treating personality-relationship transactions with respect: Narrow facets, advanced models, and extended time frames.",Journal of Personality and Social Psychology,107,2,352,Friedrich Schiller University of Jena,"Big Five facets, dynamic transactionism, latent change, personality development, personality-relationship transaction",1,,Psychology,Research Associate,1,1,1,1,,
"Neyer, F.J.",2014,"Treating personality-relationship transactions with respect: Narrow facets, advanced models, and extended time frames.",Journal of Personality and Social Psychology,107,2,352,Friedrich Schiller University of Jena,"Big Five facets, dynamic transactionism, latent change, personality development, personality-relationship transaction",1,,Psychology,Professor (Chair),3,1,4,1,,
"Carter, E.C.",2014,Explaining the relationship between religiousness and substance use: Self-control matters.,Journal of Personality and Social Psychology,107,2,339,University of Miami,"alcohol, religiosity, self-control, self-regulation, substance use",0,,Psychology,Graduate Student,0,0,6,6,,
"DeWall, C.N.",2014,Explaining the relationship between religiousness and substance use: Self-control matters.,Journal of Personality and Social Psychology,107,2,339,University of Kentucky,"alcohol, religiosity, self-control, self-regulation, substance use",0,,Psychology,Associate Professor,11,0,85,6,,24
"Fincham, F.D.",2014,Explaining the relationship between religiousness and substance use: Self-control matters.,Journal of Personality and Social Psychology,107,2,339,Florida State University,"alcohol, religiosity, self-control, self-regulation, substance use
",0,,Psychology,Professor (Eminent Scholar),6,0,53,6,,
"Lambert, N.M.",2014,Explaining the relationship between religiousness and substance use: Self-control matters.,Journal of Personality and Social Psychology,107,2,339,Brigham Young University,"alcohol, religiosity, self-control, self-regulation, substance use",0,,Psychology,Assistant Professor,3,0,41,6,,
"McCullough, M.E.",2014,Explaining the relationship between religiousness and substance use: Self-control matters.,Journal of Personality and Social Psychology,107,2,339,University of Miami,"alcohol, religiosity, self-control, self-regulation, substance use",0,,Psychology,Professor,8,0,35,6,,
"Nezlek, J.B.",2014,Explaining the relationship between religiousness and substance use: Self-control matters.,Journal of Personality and Social Psychology,107,2,339,College of William & Mary,"alcohol, religiosity, self-control, self-regulation, substance use",0,,Psychology,Professor,0,0,6,6,,
